category,expiration_date,name,price,product_id,production_date,quantity,rating,status,price_in_$
Бакалея,2027-03-14,Зеленый перец молотый,2975,21,2022-03-01,425,3.02,Backorder,280364.0
Мясо,2023-04-03,Вымя,3757,22,2021-01-01,591,1.2,Sold,354059.68
Молочные продукты,1994-03-03,Мороженое,1621,23,1993-04-25,721,1.14,In Stock,152763.03999999998
Товары для дома,2028-08-01,Пакеты для растений,9630,24,2021-02-06,604,2.14,Awaiting Review,907531.2
Товары для дома,2027-04-03,Моющее средство для посуды,9455,25,2019-02-01,496,1.31,Awaiting Review,891039.2
Мясо,2026-01-16,Куриные грудки,609,26,2018-02-27,113,2.25,New,57392.159999999996
Молочные продукты,2028-11-17,Мацони,583,27,2002-05-01,965,1.54,Backorder,54941.92
Бакалея,2023-03-01,Душистый перец горошком,9128,28,2007-05-01,678,1.61,Delivered,860222.72
Товары для дома,2030-05-20,Пакеты для библиотеки,8962,29,2003-06-07,250,4.18,Returned,844578.88
Мясо,2023-05-06,Говядина,7707,30,2002-08-05,696,1.18,New,726307.6799999999
Мясо,2023-01-03,Сэндвичи с ветчиной,6011,31,2000-08-03,443,3.08,Awaiting Payment,566476.64
Бакалея,2023-02-01,Макароны,2292,32,2010-06-17,416,3.25,Pending,215998.08
Фрукты,2022-03-19,Банан,3874,33,2010-02-04,862,2.03,Delivered,365085.75999999995
Фрукты,2017-10-01,Персик,2425,34,2016-02-15,60,1.53,New,228532.0
Овощи,2007-01-15,Свекла,7000,35,2006-02-17,283,4.04,Refunded,659680.0
Мясо,2027-03-06,Куриные субпродукты,4727,36,2017-06-25,162,4.9,Sold,445472.48
Молочные продукты,2017-01-17,Сметана,8196,37,2005-01-01,592,0.82,On Backorder,772391.0399999999
Мясо,2009-09-11,Буузы,3097,38,2007-02-04,11,2.28,In Stock,291861.27999999997
Напитки,2008-02-09,Крымская,9617,39,2007-05-01,817,1.21,In Stock,906306.08
Фрукты,2024-07-07,Черешня,6745,40,2009-03-07,486,2.09,Delivered,635648.7999999999
Напитки,2028-01-21,Феодосийская,3276,41,2005-02-01,245,1.55,Awaiting Review,308730.24
Мясо,1994-02-07,Буррито с мясом,9395,42,1992-02-01,876,4.0,Out of Stock,885384.7999999999
Товары для дома,2013-04-24,Парфюм,9282,43,2008-04-09,599,3.65,Cancelled,874735.6799999999
Напитки,2021-04-08,Выборгская,6693,44,2007-01-02,859,4.7,New,630748.32
Мясо,2029-01-17,Хамон,4099,45,1990-02-09,859,0.77,Awaiting Payment,386289.75999999995
Напитки,2017-01-06,Евпатория,8624,46,2016-01-07,811,0.78,Pending,812725.76
Овощи,2027-01-03,Патиссон,694,47,2019-02-02,877,2.4,Returned,65402.56
Товары для дома,2023-03-21,Пакеты для кемпинга,8718,48,2020-01-08,481,0.49,Shipping,821584.32
Молочные продукты,2025-05-07,Моцарелла,5119,49,2002-05-01,137,1.39,Delivered,482414.56
Бакалея,2025-06-11,Джем,1114,50,2020-01-28,846,2.55,Delivered,104983.36
Молочные продукты,2007-01-01,Творог,592,51,2003-03-07,950,0.44,Delivered,55790.079999999994
Мясо,2028-11-12,Антрекот,2002,52,2003-02-06,883,1.19,Awaiting Payment,188668.47999999998
Мясо,1993-07-01,Хинкали,5805,53,1991-01-06,392,0.13,New,547063.2
Бакалея,2023-01-08,Кардамон молотый,805,54,2008-02-06,351,4.18,Returned,75863.2
Напитки,2016-02-06,Геленджикская,9163,55,2012-01-06,458,0.63,In Stock,863521.12
Фрукты,2020-01-05,Кокос,9393,56,2002-06-01,500,2.51,Returned,885196.32
Бакалея,2023-08-03,Красный перец чили молотый,8925,57,2021-02-08,908,1.97,Refunded,841092.0
Мясо,2008-08-12,Конфи,7930,58,2002-09-17,484,4.19,Backorder,747323.2
Бакалея,1992-08-02,Конопляные семена,7312,59,1992-04-01,457,0.64,Backorder,689082.88
Овощи,2009-01-01,Чеснок,7876,60,2004-03-05,167,4.33,On Backorder,742234.24
Бакалея,2022-08-01,Ямайский перец горошком,9429,61,1991-01-02,609,3.59,Sold,888588.96
Фрукты,2012-05-19,Фейхоа,210,62,2012-04-11,497,0.88,Returned,19790.399999999998
Овощи,2011-02-07,Турнепс,9287,63,2003-01-07,245,3.28,Available for Pickup,875206.88
Фрукты,2013-04-01,Инжир,5757,64,2011-02-12,913,1.57,Returned,542539.6799999999
Бакалея,2027-03-06,Лен семена,8569,65,2009-03-03,483,0.2,Awaiting Payment,807542.5599999999
Мясо,2025-06-16,Корейка,7795,66,2022-01-08,672,1.18,Awaiting Review,734600.7999999999
Товары для дома,2019-01-05,Пакеты для Дня Победы,644,67,2002-02-01,521,3.21,Pending,60690.56
Товары для дома,2008-04-06,Пакеты для выставки,8095,68,1997-01-03,677,4.63,Backorder,762872.7999999999
Молочные продукты,2014-08-12,Каймак,4847,69,2010-01-15,754,4.36,Awaiting Review,456781.27999999997
Фрукты,2017-06-15,Помело,4323,70,1995-04-03,445,0.99,In Stock,407399.51999999996
Товары для дома,2015-02-24,Ножи столовые,3483,71,2007-04-02,665,1.7,On Backorder,328237.92
Мясо,2024-07-14,Индюшатина,5806,72,2015-02-14,543,0.61,Awaiting Payment,547157.44
Фрукты,2030-03-12,Яблоко,7296,73,2021-05-03,169,2.38,Awaiting Payment,687575.0399999999
Бакалея,2030-06-01,Укроп сушеный,537,74,2019-02-01,129,2.95,Pending,50606.88
Овощи,2022-05-01,Лук-порей,5439,75,2017-03-17,808,4.2,Available for Pickup,512571.36
Мясо,2028-02-18,Манты,950,76,1993-02-06,858,3.07,Out of Stock,89528.0
Бакалея,2025-07-14,Мука пшеничная,5903,77,2020-01-17,459,1.95,Available for Pickup,556298.72
Фрукты,2026-07-15,Ананас,7182,78,2001-01-08,46,3.32,Returned,676831.6799999999
Товары для дома,2017-01-03,Наволочки,8605,79,2006-07-03,283,4.23,Shipping,810935.2
Мясо,2026-01-06,Гуляш,5911,80,2004-03-06,77,4.88,Cancelled,557052.64
Товары для дома,2020-06-10,Полотенца для рук,282,81,1994-02-08,833,1.08,In Stock,26575.68
Овощи,1999-02-05,Огурец,3995,82,1990-05-21,740,0.84,Refunded,376488.8
Овощи,2030-06-04,Цветная капуста,7680,83,2018-08-01,233,4.09,Cancelled,723763.2
Фрукты,2020-03-01,Черника,5179,84,2019-06-01,366,4.97,Out of Stock,488068.95999999996
Овощи,2024-01-06,Кабачок,6431,85,2008-01-02,806,0.36,Out of Stock,606057.44
Фрукты,2003-01-15,Рамбутан,2449,86,2001-01-21,171,3.39,On Backorder,230793.75999999998
Товары для дома,2001-07-08,Пакеты для фестиваля,5574,87,1995-04-04,967,1.17,Temporarily Unavailable,525293.76
Товары для дома,2024-04-05,Пакеты для офиса,1549,88,1996-05-03,300,0.62,In Stock,145977.75999999998
Напитки,2030-02-18,Самарская,7248,89,2016-01-07,204,2.04,New,683051.52
Мясо,2024-06-13,Рулька,2630,90,2020-04-07,933,2.42,Shipping,247851.19999999998
Товары для дома,2030-02-08,Салфетки сухие,8884,91,1994-04-01,337,0.82,Available for Pickup,837228.1599999999
Мясо,2027-07-06,Буженина,5615,92,1992-01-06,245,4.77,Sold,529157.6
Молочные продукты,2023-01-21,Сметана,3155,93,1999-06-01,218,2.56,Delivered,297327.2
Овощи,2012-02-13,Фенхель,1950,94,2011-07-06,74,3.51,Refunded,183768.0
Товары для дома,2016-06-16,Пакеты для косметики,6933,95,2000-06-02,691,3.83,Cancelled,653365.9199999999
Овощи,2018-04-03,Брюква,3241,96,2003-04-03,722,2.07,Cancelled,305431.83999999997
Товары для дома,2022-02-13,Кастрюли,8790,97,2021-10-07,255,4.58,Cancelled,828369.6
Молочные продукты,2022-03-08,Гауда,6849,98,2012-07-01,447,1.74,Pending,645449.76
Товары для дома,2023-06-03,Пакеты для обуви,2119,99,2021-08-19,639,1.31,Backorder,199694.56
Мясо,1991-03-02,Студень,1140,100,1990-01-02,31,0.12,Returned,107433.59999999999
Товары для дома,2021-05-10,Мыло жидкое,660,101,1999-04-01,755,3.1,Awaiting Review,62198.399999999994
Товары для дома,2025-02-01,Пакеты для обуви,9402,102,2006-03-10,488,0.64,Cancelled,886044.48
Бакалея,2021-01-05,Сода пищевая,2397,103,2020-02-02,696,2.71,Shipping,225893.28
Фрукты,2021-06-11,Авокадо,805,104,2008-07-08,615,0.91,Shipping,75863.2
Овощи,2025-07-05,Шпинат,6806,105,2008-01-02,659,0.67,Shipping,641397.44
Товары для дома,2017-03-01,Наволочки,1749,106,2013-01-08,858,1.36,Sold,164825.75999999998
Бакалея,2018-03-04,Сырой арахис,7424,107,2012-02-08,843,3.64,Delivered,699637.76
Бакалея,2019-02-06,Каша из дробленного риса,4715,108,1993-11-08,639,3.53,Returned,444341.6
Фрукты,2022-05-01,Айва,8851,109,2016-01-02,249,2.96,On Backorder,834118.24
Фрукты,2002-03-08,Нектарин,3978,110,1995-02-01,677,2.82,Temporarily Unavailable,374886.72
Бакалея,2004-04-11,Каша из овса,7979,111,1999-03-06,226,2.42,Shipping,751940.96
Бакалея,2000-01-04,Майонез,6872,112,1991-05-02,6,0.25,New,647617.2799999999
Фрукты,1996-05-07,Ананас,2919,113,1994-05-01,160,2.46,Delivered,275086.56
Напитки,1996-01-06,Сангрия безалкогольная,4693,114,1996-01-01,726,3.71,Backorder,442268.31999999995
Овощи,2001-01-03,Эндивий,5299,115,1992-01-01,243,0.07,Backorder,499377.75999999995
Фрукты,2019-05-01,Персик,9510,116,2009-01-14,869,3.22,Cancelled,896222.3999999999
Фрукты,2020-03-12,Рамбутан,8959,117,2020-03-10,887,1.18,Available for Pickup,844296.1599999999
Напитки,2023-03-04,Челябинская,8161,118,1994-02-08,675,4.58,Shipping,769092.64
Овощи,2026-01-09,Окра,5186,119,2022-06-02,149,4.65,Pending,488728.63999999996
Молочные продукты,2027-04-07,Катык,459,120,2021-03-27,576,3.68,Temporarily Unavailable,43256.159999999996
Товары для дома,2025-01-01,Пакеты для Нового года,5333,121,2016-04-01,430,4.93,Delivered,502581.92
Бакалея,2021-03-07,Орегано сушеный,9617,122,2012-08-19,647,4.44,Out of Stock,906306.08
Мясо,2014-02-05,Шаверма,1628,123,2011-01-01,157,1.25,On Backorder,153422.72
Товары для дома,2012-05-03,Швабра,7083,124,2003-04-11,456,0.11,Delivered,667501.9199999999
Товары для дома,2014-05-17,Пакеты для Всемирного дня книг,3841,125,2008-02-05,100,2.63,Delivered,361975.83999999997
Молочные продукты,2010-10-01,Мороженое,433,126,1998-03-05,314,3.23,Available for Pickup,40805.92
Овощи,2015-02-01,Портулак,6499,127,2013-03-19,814,2.76,In Stock,612465.76
Напитки,2028-10-05,Квас хлебный,4138,128,1999-07-05,561,2.84,On Backorder,389965.12
Товары для дома,2017-06-15,Подставки под столовые приборы,887,129,2005-01-16,907,4.32,Shipping,83590.87999999999
Овощи,2027-04-09,Редис,4738,130,2009-02-10,843,4.19,Out of Stock,446509.12
Бакалея,2021-01-20,Каша из проса,9989,131,1991-02-05,130,3.21,Pending,941363.36
Бакалея,2027-01-02,Чай зеленый,6367,132,2002-05-08,40,1.61,Refunded,600026.08
Молочные продукты,2009-02-05,Фета,4352,133,1992-02-10,642,2.54,Out of Stock,410132.48
Товары для дома,2025-01-01,Пакеты бумажные,2339,134,2014-02-09,566,3.69,Pending,220427.36
Напитки,2005-01-04,Кокосовая вода,4627,135,1998-02-09,13,4.38,Delivered,436048.48
Молочные продукты,2022-02-14,Творог,5468,136,2012-05-07,517,1.64,Awaiting Payment,515304.31999999995
Напитки,2011-01-02,Комсомольская,3539,137,2002-02-01,473,3.79,In Stock,333515.36
Овощи,2028-04-02,Цукини,6930,138,2019-03-06,130,1.41,Temporarily Unavailable,653083.2
Фрукты,2029-04-05,Яблоко,9867,139,2018-02-19,485,2.1,Sold,929866.08
Фрукты,2029-02-17,Яблоко,8195,140,2015-03-05,740,2.78,On Backorder,772296.7999999999
Молочные продукты,2014-06-01,Голландский сыр,572,141,2012-05-03,376,2.82,Returned,53905.28
Мясо,2016-05-08,Буузы,8774,142,1993-01-01,455,2.65,Temporarily Unavailable,826861.76
Бакалея,2011-04-14,Чай черный,422,143,2011-01-03,608,4.34,Sold,39769.28
Фрукты,2020-08-07,Айва,8823,144,1998-03-02,790,1.35,Shipping,831479.5199999999
Напитки,2023-05-06,Пензенская,8156,145,2001-08-07,886,2.78,Returned,768621.44
Мясо,2003-04-10,Кролик,8017,146,2003-04-01,492,2.25,Sold,755522.08
Напитки,2023-03-10,Белокуриха,9736,147,2022-04-02,696,4.74,Available for Pickup,917520.6399999999
Бакалея,2022-07-05,Гречка,3565,148,1999-02-01,784,4.49,Refunded,335965.6
Молочные продукты,2013-01-02,Масло сливочное,1341,149,2008-08-04,182,3.82,On Backorder,126375.84
Молочные продукты,2029-06-02,Варенец,9943,150,2019-02-04,933,0.78,Backorder,937028.32
Овощи,2021-03-01,Эндивий,223,151,2018-03-11,806,1.28,Shipping,21015.52
Товары для дома,2030-05-08,Пакеты для Дня независимости,1300,152,2020-05-06,323,2.82,Awaiting Review,122512.0
Овощи,2015-02-03,Перец болгарский,4878,153,2003-01-26,645,0.45,Shipping,459702.72
Фрукты,2021-02-16,Ананас,194,154,2018-04-09,345,0.04,Returned,18282.559999999998
Напитки,2026-05-03,Ессентуки,6008,155,2015-02-05,697,1.74,Cancelled,566193.9199999999
Товары для дома,2028-04-17,Туалетная бумага,2854,156,2021-02-06,957,0.18,Awaiting Review,268960.95999999996
Бакалея,2025-09-09,Каша из дробленой кукурузы,6565,157,2016-03-06,601,4.82,Available for Pickup,618685.6
Овощи,2029-01-03,Ямс,8890,158,2015-04-26,31,0.77,Sold,837793.6
Напитки,2001-01-02,Масала чай,2230,159,1997-07-01,486,3.86,Temporarily Unavailable,210155.19999999998
Бакалея,2029-03-01,Анис звездчатый,2202,160,1994-08-09,736,0.8,Shipping,207516.47999999998
Напитки,2029-03-04,Monster Energy,9176,161,2015-04-22,911,1.11,Available for Pickup,864746.24
Молочные продукты,2023-07-10,Кефир,490,162,1998-03-04,344,3.35,Cancelled,46177.6
Бакалея,2003-06-01,Лен семена,6333,163,1994-11-07,359,3.92,Awaiting Payment,596821.9199999999
Фрукты,2021-04-03,Дыня,8559,164,2001-02-02,69,3.21,Refunded,806600.1599999999
Бакалея,2023-03-07,Томатная паста,7881,165,2005-12-07,737,0.31,Sold,742705.44
Овощи,2017-03-06,Спаржа,3488,166,1998-02-13,758,4.82,Returned,328709.12
Молочные продукты,2020-02-03,Фета,6658,167,2005-01-06,376,3.11,Shipping,627449.9199999999
Овощи,2011-03-10,Огурец,9407,168,1990-03-06,565,3.23,Refunded,886515.6799999999
Молочные продукты,2028-02-03,Курт,6043,169,1991-01-09,642,4.13,Shipping,569492.32
Фрукты,2008-11-09,Кокос,5397,170,1991-03-02,370,3.64,New,508613.27999999997
Молочные продукты,2003-02-05,Верблюжье молоко,2174,171,1992-05-01,346,3.8,Returned,204877.75999999998
Напитки,1999-08-08,Ростовская,8333,172,1992-09-01,399,2.13,Refunded,785301.9199999999
Мясо,2014-05-01,Ветчина,5775,173,2012-04-23,37,4.23,Pending,544236.0
Напитки,2029-01-02,Байкал,481,174,2014-07-09,805,0.13,Awaiting Payment,45329.439999999995
Овощи,2024-05-11,Ямс,9967,175,2005-05-08,888,1.4,Awaiting Payment,939290.08
Товары для дома,1995-03-08,Салфетки сухие,203,176,1991-04-13,581,4.69,Sold,19130.719999999998
Мясо,2022-04-07,Гамбургеры,9299,177,2018-01-01,519,2.17,Backorder,876337.76
Молочные продукты,2024-04-04,Сливки,262,178,2007-01-02,302,2.92,Awaiting Review,24690.879999999997
Молочные продукты,2019-06-27,Моцарелла,2962,179,1994-04-03,263,5.0,Pending,279138.88
Молочные продукты,2029-10-11,Масло сливочное,9917,180,2011-03-03,840,3.11,Delivered,934578.08
Товары для дома,2029-02-11,Пакеты для Хэллоуина,9013,181,2021-04-24,545,2.92,In Stock,849385.12
Напитки,2027-02-02,Кисель ягодный,1391,182,1995-03-01,239,2.82,Backorder,131087.84
Бакалея,2026-09-02,Горошек консервированный,9346,183,2021-01-07,953,1.36,New,880767.0399999999
Овощи,2025-03-09,Свекла,563,184,2005-01-07,970,1.55,Out of Stock,53057.119999999995
Овощи,2030-01-05,Редис,7600,185,2003-01-23,728,3.96,New,716224.0
Овощи,2017-07-08,Цветная капуста,9277,186,2011-04-09,357,4.02,New,874264.48
Товары для дома,2013-03-08,Пакеты для ярмарки,6134,187,2006-05-17,521,2.96,Awaiting Payment,578068.1599999999
Молочные продукты,2026-01-05,Йогурт,208,188,2022-03-02,889,0.03,On Backorder,19601.92
Фрукты,2016-02-11,Груша,7855,189,1999-01-16,800,0.06,Sold,740255.2
Напитки,2026-08-04,Читинская,5557,190,2014-05-04,17,1.23,Out of Stock,523691.68
Мясо,2025-11-01,Тако с мясом,7881,191,2013-04-01,965,4.45,Temporarily Unavailable,742705.44
Бакалея,2029-02-01,Пастила,6460,192,2021-01-05,941,4.22,Pending,608790.4
Напитки,2030-03-14,Люберецкая,735,193,2002-10-20,868,1.48,Awaiting Review,69266.4
Бакалея,2000-04-02,Томаты в собственном соку,1112,194,1993-03-06,754,0.94,Pending,104794.87999999999
Бакалея,2023-03-16,Каша из дробленой гречихи,1815,195,2000-03-01,290,0.42,On Backorder,171045.59999999998
Молочные продукты,2024-01-07,Творог,9137,196,1997-04-12,865,4.13,On Backorder,861070.88
Овощи,2028-05-04,Спаржа,9339,197,2020-02-04,261,1.76,Sold,880107.36
Напитки,2021-04-09,Шахтинская,6469,198,2019-08-04,111,0.18,Sold,609638.5599999999
Фрукты,2027-02-02,Манго,432,199,2021-01-22,521,3.01,In Stock,40711.68
Напитки,2012-01-12,Старый источник,5606,200,1990-01-20,571,1.62,Awaiting Payment,528309.44
Напитки,2023-01-01,Шадринская,9897,201,2020-01-04,519,0.77,Available for Pickup,932693.2799999999
Товары для дома,2028-05-15,Пакеты для детских вещей,9417,202,2022-08-18,65,4.99,Delivered,887458.08
Молочные продукты,2020-05-08,Ласси,9452,203,2010-08-04,88,2.41,Sold,890756.48
Молочные продукты,2030-04-03,Сливки,874,204,2016-04-04,487,3.57,Awaiting Review,82365.76
Мясо,2022-09-06,Кровяная колбаса,1004,205,2009-09-02,331,1.33,Returned,94616.95999999999
Бакалея,2005-08-12,Чабрец сушеный,108,206,1996-07-02,477,4.01,Pending,10177.92
Бакалея,2009-09-01,Кунжут черный,1911,207,2008-05-01,851,0.64,Awaiting Review,180092.63999999998
Бакалея,2018-02-01,Каша из риса дикого,509,208,2004-04-02,515,0.35,Available for Pickup,47968.159999999996
Молочные продукты,2007-09-03,Варенец,4279,209,1992-04-01,948,4.03,In Stock,403252.95999999996
Напитки,2029-04-18,Сергиево-Посадская,8542,210,2018-03-05,171,4.64,Cancelled,804998.08
Овощи,2026-02-12,Укроп,9031,211,2008-02-04,759,0.34,Refunded,851081.44
Молочные продукты,2007-07-02,Верблюжье молоко,9489,212,2002-04-13,959,3.83,Temporarily Unavailable,894243.36
Бакалея,2024-03-06,Чабрец сушеный,5131,213,2018-01-05,938,0.04,On Backorder,483545.44
Товары для дома,2028-01-18,Пакеты для фестиваля,1788,214,2014-01-10,986,1.2,Available for Pickup,168501.12
Товары для дома,2014-06-04,Ополаскиватель для полости рта,9882,215,2012-05-01,806,3.9,Backorder,931279.6799999999
Овощи,2021-03-01,Брокколи,8373,216,1990-05-03,468,4.61,Sold,789071.5199999999
Напитки,2022-10-03,Sprite Zero,8274,217,2006-07-07,850,2.72,Backorder,779741.76
Фрукты,2029-08-12,Черника,4056,218,2015-03-08,838,3.87,New,382237.44
Фрукты,2028-12-04,Слива,4737,219,1995-05-19,723,2.45,Backorder,446414.88
Овощи,2019-02-09,Топинамбур,9563,220,2008-04-02,416,4.79,New,901217.12
Овощи,2017-06-02,Свекла,5255,221,2004-01-02,878,4.44,Available for Pickup,495231.19999999995
Товары для дома,2019-06-21,Матрасы,151,222,2002-02-03,654,3.66,Shipping,14230.24
Овощи,2030-02-01,Бамия,2358,223,2022-02-05,17,1.12,Temporarily Unavailable,222217.91999999998
Фрукты,2024-01-02,Апельсин,7704,224,2014-04-13,56,3.35,Awaiting Review,726024.96
Молочные продукты,2009-04-01,Моцарелла,6724,225,1999-01-04,816,4.53,Pending,633669.76
Напитки,2027-03-04,Новошахтинская,5009,226,2003-02-02,185,2.43,In Stock,472048.16
Фрукты,2011-02-22,Черника,513,227,1995-10-07,376,4.41,Returned,48345.119999999995
Мясо,2027-03-14,Крольчатина,7897,228,2021-04-03,633,3.57,Temporarily Unavailable,744213.2799999999
Бакалея,2017-08-10,Сорго,4036,229,1996-02-02,405,2.94,Pending,380352.63999999996
Овощи,2000-04-11,Баклажан,891,230,1996-11-09,500,4.85,Backorder,83967.84
Овощи,2024-04-09,Морковь,1252,231,2019-02-14,71,1.62,Delivered,117988.48
Напитки,2021-03-19,Кисель ягодный,9562,232,2021-02-18,203,3.02,Refunded,901122.88
Товары для дома,2023-05-06,Пакеты для фестиваля,6023,233,2022-09-06,590,2.74,Sold,567607.52
Молочные продукты,2030-04-07,Моцарелла,1393,234,2006-04-02,84,4.38,Out of Stock,131276.32
Мясо,2025-07-01,Шашлык,9231,235,1992-03-06,804,0.47,Awaiting Review,869929.44
Товары для дома,2024-04-03,Пакеты для Всемирного дня окружающей среды,9258,236,2014-01-04,283,2.09,Out of Stock,872473.9199999999
Мясо,2027-06-04,Варено-копченая колбаса,9648,237,2000-01-05,457,3.83,Shipping,909227.5199999999
Мясо,2016-02-14,Ветчина,100,238,2000-04-20,174,1.0,Awaiting Payment,9424.0
Мясо,2030-08-04,Отбивная,9517,239,2000-02-20,943,2.78,Returned,896882.08
Фрукты,2028-01-01,Клюква,250,240,1991-05-13,308,2.76,Awaiting Payment,23560.0
Товары для дома,2022-04-14,Пакеты для Дня учителя,4451,241,2008-10-03,959,3.82,Out of Stock,419462.24
Товары для дома,1991-03-11,Половники,8896,242,1991-02-02,723,4.54,Shipping,838359.0399999999
Товары для дома,2027-04-05,Стиральный порошок,3628,243,1997-06-15,572,1.0,Backorder,341902.72
Овощи,2011-01-13,Портулак,7549,244,2002-06-24,744,3.53,Available for Pickup,711417.76
Мясо,2023-01-03,Буженина,4262,245,2019-02-07,149,2.84,Available for Pickup,401650.88
Мясо,2026-10-12,Кабанятина,5723,246,2017-05-07,378,4.24,Awaiting Payment,539335.52
Молочные продукты,2022-02-01,Брынза,5303,247,2006-04-21,814,2.53,Cancelled,499754.72
Напитки,2019-05-04,Талицкая,4463,248,1990-06-03,708,3.74,Cancelled,420593.12
Мясо,2001-11-01,Куриные ножки,3325,249,1999-03-08,925,0.62,New,313348.0
Овощи,2028-05-17,Окра,4387,250,2015-02-18,934,2.76,Temporarily Unavailable,413430.88
Молочные продукты,2028-03-16,Топлёное молоко,1874,251,2022-03-04,612,2.93,Out of Stock,176605.75999999998
Напитки,2013-01-04,Золотое молоко,5665,252,1995-08-18,353,3.66,Pending,533869.6
Мясо,2022-01-12,Сэндвичи с ветчиной,9850,253,2014-02-09,379,0.32,Returned,928264.0
Молочные продукты,2028-01-15,Айран,7324,254,2020-04-07,616,1.22,Awaiting Review,690213.76
Фрукты,2030-02-07,Персик,5154,255,2020-01-02,775,0.51,Delivered,485712.95999999996
Бакалея,2022-12-12,Каша из дробленного риса,8311,256,2013-05-08,520,2.47,Returned,783228.64
Бакалея,2011-01-14,Какао-порошок,4531,257,2004-04-04,563,2.76,Pending,427001.44
Молочные продукты,2008-05-08,Адыгейский сыр,3080,258,2008-02-21,292,2.33,Returned,290259.2
Товары для дома,2030-06-11,Пищевая пленка,2377,259,2015-04-06,457,4.24,Pending,224008.47999999998
Товары для дома,2003-01-05,Пакеты для Дня благодарения,8722,260,1991-02-06,59,1.33,Sold,821961.2799999999
Напитки,2021-01-12,Курортная,4826,261,2016-04-01,716,0.6,Sold,454802.24
Напитки,2017-09-03,Камчатская,5678,262,2013-01-04,990,3.75,Pending,535094.72
Бакалея,2020-01-02,Амарант крупа,5569,263,2002-06-09,47,1.23,Returned,524822.5599999999
Молочные продукты,2018-03-06,Простокваша,7452,264,2001-02-09,174,0.9,New,702276.48
Товары для дома,2010-03-05,Кухонные ножи,5547,265,2000-04-04,632,4.39,Awaiting Review,522749.27999999997
Бакалея,2026-04-03,Мускатный орех молотый,8978,266,2013-01-27,707,2.82,Delivered,846086.72
Бакалея,2023-01-09,Конопляные семена,7639,267,2007-01-03,26,3.58,Cancelled,719899.36
Молочные продукты,2013-07-04,Фета,9093,268,1995-02-13,706,2.53,Refunded,856924.32
Мясо,2023-01-08,Пироги с мясом,2951,269,2009-02-16,900,1.13,New,278102.24
Мясо,2025-11-14,Свинина,1739,270,2016-05-06,599,1.24,Backorder,163883.36
Мясо,2020-01-14,Ребрышки,9589,271,2002-05-06,644,1.94,Pending,903667.36
Овощи,2028-02-02,Окра,8207,272,2018-01-23,65,3.73,Out of Stock,773427.6799999999
Бакалея,2018-02-02,Камут,2591,273,2002-01-11,632,0.28,In Stock,244175.84
Фрукты,2027-04-03,Черника,3505,274,2019-03-01,829,4.8,Awaiting Payment,330311.19999999995
Напитки,2014-06-08,7UP,2926,275,2004-09-02,772,1.97,Available for Pickup,275746.24
Молочные продукты,2030-04-02,Фета,7044,276,2019-03-04,781,1.3,Shipping,663826.5599999999
Товары для дома,2017-01-23,Бритвенный станок,548,277,2003-01-05,642,2.97,Pending,51643.52
Овощи,2021-10-01,Брюква,6602,278,1992-10-02,477,3.65,Shipping,622172.48
Овощи,2026-01-07,Перец болгарский,1849,279,2014-02-14,185,3.1,Shipping,174249.75999999998
Овощи,2023-01-15,Свекла,3067,280,2006-02-06,491,3.12,Available for Pickup,289034.07999999996
